zipcode,school,SAT_Score,year
60629,ACE TECH HS,808,2017-2018
60618,ASPIRA - EARLY COLLEGE HS,842,2017-2018
60622,CHIARTS HS,984,2017-2018
60643,CICS - LONGWOOD,806,2017-2018
60636,CHICAGO MATH & SCIENCE HS,1012,2017-2018
60607,CHICAGO VIRTUAL,943,2017-2018
60642,NOBLE - NOBLE HS,1050,2017-2018
60619,NOBLE - COMER,943,2017-2018
60642,NOBLE - GOLDER HS,1023,2017-2018
60639,NOBLE - PRITZKER HS,1067,2017-2018
60608,NOBLE - RAUNER HS,1018,2017-2018
60651,NOBLE - ROWE CLARK HS,939,2017-2018
60608,NOBLE - UIC HS,1050,2017-2018
60623,NORTH LAWNDALE - CHRISTIANA HS,858,2017-2018
60623,NORTH LAWNDALE - COLLINS HS,859,2017-2018
60620,PERSPECTIVES - LEADERSHIP HS,845,2017-2018
60620,PERSPECTIVES - TECH HS,855,2017-2018
60616,PERSPECTIVES - JOSLIN HS,852,2017-2018
60653,PERSPECTIVES - MATH & SCI HS,888,2017-2018
60637,U OF C - WOODLAWN HS,891,2017-2018
60632,ACERO - GARCIA HS,921,2017-2018
60621,URBAN PREP - ENGLEWOOD HS,873,2017-2018
60616,YOUNG WOMENS HS,830,2017-2018
60608,CHICAGO TECH HS,846,2017-2018
60617,EPIC HS,903,2017-2018
60612,NOBLE - BULLS HS,1031,2017-2018
60608,URBAN PREP - WEST HS,850,2017-2018
60608,INSTITUTO - HEALTH,841,2017-2018
60616,URBAN PREP - BRONZEVILLE HS,846,2017-2018
60621,NOBLE - JOHNSON HS,902,2017-2018
60610,CICS - CHICAGOQUEST HS,848,2017-2018
60629,CATALYST - MARIA,885,2017-2018
60620,NOBLE - HANSBERRY HS,937,2017-2018
60624,NOBLE - DRW HS,913,2017-2018
60624,LEGAL PREP HS,877,2017-2018
60645,ACERO - DE LA CRUZ,839,2017-2018
60644,YCCS - SCHOLASTIC ACHIEVEMENT,744,2017-2018
60616,YCCS - MCKINLEY,738,2017-2018
60641,YCCS - ASPIRA PANTOJA,783,2017-2018
60651,YCCS - ASSOCIATION HOUSE,792,2017-2018
60651,YCCS - AUSTIN CAREER,756,2017-2018
60623,YCCS - CCA ACADEMY,751,2017-2018
60616,YCCS - PROGRESSIVE LEADERSHIP,752,2017-2018
60620,YCCS - YOUTH DEVELOPMENT,763,2017-2018
60622,YCCS - CAMPOS,783,2017-2018
60616,YCCS - ADDAMS,851,2017-2018
60608,YCCS - LATINO YOUTH,806,2017-2018
60628,YCCS - OLIVE HARVEY,771,2017-2018
60653,LITTLE BLACK PEARL HS,828,2017-2018
60617,YCCS - SULLIVAN,766,2017-2018
60616,YCCS - TRUMAN,869,2017-2018
60612,YCCS - WEST TOWN,793,2017-2018
60651,YCCS - WESTSIDE HOLISTIC,795,2017-2018
60616,YCCS - YOUTH CONNECTION,809,2017-2018
60643,CAMELOT - EXCEL HS,789,2017-2018
60619,YCCS - CHATHAM,773,2017-2018
60628,NOBLE - BUTLER HS,934,2017-2018
60617,NOBLE - BAKER HS,953,2017-2018
60641,INTRINSIC HS,979,2017-2018
60608,INSTITUTO - LOZANO HS,807,2017-2018
60609,HORIZON - SOUTHWEST,826,2017-2018
60639,NOBLE - ITW SPEER HS,1040,2017-2018
60610,NOBLE - ACADEMY HS,1065,2017-2018
60618,ASPIRA - BUSINESS & FINANCE HS,831,2017-2018
60632,PATHWAYS - BRIGHTON PARK HS,831,2017-2018
60649,CAMELOT - EXCEL SOUTHSHORE HS,740,2017-2018
60629,CAMELOT - EXCEL SOUTHWEST HS,757,2017-2018
60617,CHICAGO VOCATIONAL HS,828,2017-2018
60616,DUNBAR HS,796,2017-2018
60605,JONES HS,1278,2017-2018
60639,PROSSER HS,942,2017-2018
60610,PAYTON HS,1385,2017-2018
60453,RICHARDS HS,780,2017-2018
60639,NORTH-GRAND HS,884,2017-2018
60620,SIMEON HS,874,2017-2018
60624,WESTINGHOUSE HS,1056,2017-2018
60629,HANCOCK HS,1076,2017-2018
60625,AMUNDSEN HS,1008,2017-2018
60652,BOGAN HS,824,2017-2018
60623,FARRAGUT HS,854,2017-2018
60628,FENGER HS,836,2017-2018
60621,ROBESON HS,762,2017-2018
60641,FOREMAN HS,838,2017-2018
60629,GAGE PARK HS,796,2017-2018
60628,HARLAN HS,827,2017-2018
60636,HARPER HS,783,2017-2018
60619,HIRSCH HS,782,2017-2018
60637,HYDE PARK HS,836,2017-2018
60632,KELLY HS,901,2017-2018
60639,KELVYN PARK HS,830,2017-2018
60638,KENNEDY HS,962,2017-2018
60613,LAKE VIEW HS,937,2017-2018
60618,LANE TECH HS,1230,2017-2018
60612,MANLEY HS,753,2017-2018
60624,MARSHALL HS,806,2017-2018
60659,MATHER HS,925,2017-2018
60643,MORGAN PARK HS,902,2017-2018
60628,BROOKS HS,1099,2017-2018
60653,PHILLIPS HS,853,2017-2018
60625,ROOSEVELT HS,849,2017-2018
60641,SCHURZ HS,871,2017-2018
60660,SENN HS,940,2017-2018
60634,STEINMETZ HS,860,2017-2018
60626,SULLIVAN HS,831,2017-2018
60631,TAFT HS,971,2017-2018
60609,TILDEN HS,821,2017-2018
60625,VON STEUBEN HS,1027,2017-2018
60614,LINCOLN PARK HS,1085,2017-2018
60617,WASHINGTON HS,935,2017-2018
60622,WELLS HS,852,2017-2018
60629,HUBBARD HS,886,2017-2018
60615,KENWOOD HS,1038,2017-2018
60608,YORK HS,766,2017-2018
60625,NORTHSIDE PREP HS,1349,2017-2018
60608,SIMPSON HS, ,2017-2018
60653,KING HS,1023,2017-2018
60655,CHICAGO AGRICULTURE HS,1031,2017-2018
60653,CHICAGO MILITARY HS,902,2017-2018
60607,YOUNG HS,1285,2017-2018
60632,CURIE HS,916,2017-2018
60622,CLEMENTE HS,840,2017-2018
60827,CARVER MILITARY HS,939,2017-2018
60628,CORLISS HS,814,2017-2018
60643,JULIAN HS,796,2017-2018
60608,JUAREZ HS,859,2017-2018
60641,VAUGHN HS, ,2017-2018
60612,HOPE HS,760,2017-2018
60616,GRAHAM HS, ,2017-2018
60647,MARINE LEADERSHIP AT AMES HS,886,2017-2018
60643,JEFFERSON HS,829,2017-2018
60644,CLARK HS,826,2017-2018
60644,DOUGLASS HS,780,2017-2018
60612,PHOENIX MILITARY HS,980,2017-2018
60617,BOWEN HS,808,2017-2018
60624,RABY HS,816,2017-2018
60634,CHICAGO ACADEMY HS,923,2017-2018
60623,SPRY HS,837,2017-2018
60615,WILLIAMS HS,846,2017-2018
60615,BRONZEVILLE HS,817,2017-2018
60623,SOCIAL JUSTICE HS,860,2017-2018
60623,INFINITY HS,954,2017-2018
60623,MULTICULTURAL HS,832,2017-2018
60609,PEACE AND EDUCATION HS,788,2017-2018
60624,ORR HS,803,2017-2018
60660,RICKOVER MILITARY HS,939,2017-2018
60636,LINDBLOM HS,1100,2017-2018
60623,WORLD LANGUAGE HS,896,2017-2018
60640,UPLIFT HS,844,2017-2018
60618,DEVRY HS,1040,2017-2018
60608,DUAL ENR OSS SCHOOLS, ,2017-2018
60642,CITYWIDE OSS SCHOOLS,784,2017-2018
60623,COLLINS HS,813,2017-2018
60621,TEAM HS,805,2017-2018
60609,AIR FORCE HS,899,2017-2018
60644,AUSTIN CCA HS,791,2017-2018
60618,ALCOTT HS,899,2017-2018
60642,OGDEN HS,974,2017-2018
60632,SOLORIO HS,983,2017-2018
60649,SOUTH SHORE INTL HS,929,2017-2018
60652,PATHWAYS - ASHBURN HS,819,2017-2018
60652,GOODE HS,897,2017-2018
60612,CRANE MEDICAL HS,926,2017-2018
60609,BACK OF THE YARDS HS,983,2017-2018
60618,DISNEY II HS,996,2017-2018
60621,CAMELOT - EXCEL ENGLEWOOD HS,764,2017-2018
60624,BRIDGESCAPE - LAWNDALE HS,763,2017-2018
60628,BRIDGESCAPE - ROSELAND HS,795,2017-2018
60618,PATHWAYS - AVONDALE HS,840,2017-2018
60631,OMBUDSMAN - NORTHWEST HS,816,2017-2018
60636,OMBUDSMAN - SOUTH HS,810,2017-2018
60612,OMBUDSMAN - WEST HS,833,2017-2018
60622,BRIDGESCAPE - HUMBOLDT PARK HS,848,2017-2018
60620,BRIDGESCAPE - BRAINERD HS,789,2017-2018
